epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2562,1.43801,4.02734,0.00695,0.0192,0.60445,0.03163,0.01437,1.08837,4.0234,0.01109,0.000408286,0.000408286,0.000408286
2,31.2461,1.36516,3.65058,0.00626,0.02694,0.9234,0.18653,0.09921,0.93094,3.92598,0.00859,0.000867104,0.000867104,0.000867104
3,45.6688,1.41778,3.30884,0.00687,0.02228,0.97619,0.31949,0.1682,0.95074,3.97104,0.00887,0.00130706,0.00130706,0.00130706
4,60.5407,1.43774,3.15494,0.00715,0.02108,0.96825,0.34731,0.18643,0.99265,3.78763,0.00918,0.00134412,0.00134412,0.00134412
5,75.1629,1.45081,3.00542,0.00717,0.02023,0.97757,0.46603,0.254,1.1083,3.70979,0.01017,0.00131582,0.00131582,0.00131582
6,90.408,1.41537,2.7171,0.00647,0.01972,0.97757,0.50502,0.32264,1.09422,3.27056,0.00901,0.00128753,0.00128753,0.00128753
7,105.142,1.45195,2.66799,0.00648,0.8346,0.18042,0.51858,0.30224,1.15969,3.00182,0.00933,0.00125923,0.00125923,0.00125923
8,119.959,1.39599,2.67523,0.00635,0.8346,0.18042,0.51858,0.30224,1.15969,3.00182,0.00933,0.00123094,0.00123094,0.00123094
9,134.349,1.376,2.53434,0.00624,0.79109,0.45652,0.51883,0.29773,1.40023,2.86222,0.01212,0.00120265,0.00120265,0.00120265
10,149.03,1.32675,2.48756,0.00613,0.69799,0.53717,0.53693,0.33357,1.35714,2.60371,0.01209,0.00117435,0.00117435,0.00117435
11,163.436,1.35939,2.54287,0.00576,0.70532,0.54382,0.5258,0.32799,1.2346,2.54476,0.0104,0.00114606,0.00114606,0.00114606
12,178.559,1.2429,2.37464,0.00578,0.74779,0.5265,0.52218,0.32787,1.26507,2.62934,0.01064,0.00111776,0.00111776,0.00111776
13,195.362,1.33168,2.3692,0.00626,0.75631,0.50075,0.5542,0.34847,1.20505,2.59766,0.01068,0.00108947,0.00108947,0.00108947
14,212.385,1.25865,2.31579,0.00569,0.51966,0.57593,0.60602,0.37969,1.1768,2.45953,0.01033,0.00106118,0.00106118,0.00106118
15,229.206,1.30961,2.45118,0.00589,0.81443,0.55166,0.61782,0.38931,1.20044,2.39958,0.01036,0.00103288,0.00103288,0.00103288
16,245.945,1.30859,2.27564,0.00559,0.81443,0.55166,0.61782,0.38931,1.20044,2.39958,0.01036,0.00100459,0.00100459,0.00100459
17,425.407,1.23322,2.21451,0.00562,0.80998,0.56625,0.60656,0.38214,1.18506,2.39285,0.00984,0.000976293,0.000976293,0.000976293
18,441.436,1.21685,2.18913,0.00592,0.8353,0.5045,0.62331,0.40005,1.15035,2.29782,0.00947,0.000947999,0.000947999,0.000947999
19,457.451,1.32725,2.08914,0.00547,0.79726,0.53445,0.61927,0.40623,1.13836,2.14799,0.00935,0.000919704,0.000919704,0.000919704
20,742.225,1.28645,1.94071,0.00531,0.82516,0.57283,0.61935,0.41167,1.12946,2.00977,0.00908,0.00089141,0.00089141,0.00089141
21,757.737,1.27077,2.09792,0.00584,0.83267,0.52218,0.61536,0.39029,1.23167,1.99182,0.0103,0.000863116,0.000863116,0.000863116
22,1340.79,1.25736,1.98216,0.00546,0.8068,0.52634,0.60702,0.37497,1.38786,1.97775,0.01194,0.000834822,0.000834822,0.000834822
23,1364.95,1.2935,1.95293,0.00579,0.79701,0.52529,0.60632,0.37303,1.36835,1.9844,0.01137,0.000806528,0.000806528,0.000806528
24,1387.02,1.32755,2.05661,0.00596,0.79701,0.52529,0.60632,0.37303,1.36835,1.9844,0.01137,0.000778233,0.000778233,0.000778233
25,2263.63,1.27743,1.94212,0.00558,0.87375,0.51463,0.63712,0.40288,1.27374,1.91413,0.00999,0.000749939,0.000749939,0.000749939
26,2286.34,1.29815,1.85875,0.00594,0.88839,0.50303,0.65479,0.43328,1.14472,1.86541,0.0091,0.000721645,0.000721645,0.000721645
27,2308.09,1.24802,1.78006,0.00578,0.88294,0.50664,0.67975,0.46506,1.11217,1.78291,0.00888,0.000693351,0.000693351,0.000693351
28,15.0788,1.25182,1.86808,0.0059,0.87174,0.51162,0.75369,0.51965,1.09844,1.75258,0.00868,0.000665057,0.000665057,0.000665057
29,28.7256,1.19196,1.77449,0.00514,0.64937,0.69552,0.77636,0.53397,1.10324,1.75103,0.00872,0.000636762,0.000636762,0.000636762
30,42.4711,1.24934,1.74509,0.00573,0.67546,0.72065,0.79466,0.53616,1.1767,1.76749,0.0096,0.000608468,0.000608468,0.000608468
31,56.1008,1.2493,1.78995,0.00609,0.66936,0.79496,0.81669,0.53866,1.2598,1.80025,0.01078,0.000580174,0.000580174,0.000580174
32,69.772,1.32725,1.8491,0.00646,0.60926,0.83697,0.82853,0.54928,1.28535,1.78732,0.01119,0.00055188,0.00055188,0.00055188
33,83.514,1.32755,1.71688,0.00607,0.62482,0.85592,0.83745,0.55903,1.26111,1.72277,0.01099,0.000523586,0.000523586,0.000523586
34,97.1888,1.29976,1.71377,0.00573,0.70284,0.81464,0.83574,0.56651,1.18382,1.65579,0.01007,0.000495291,0.000495291,0.000495291
35,111.106,1.20933,1.66444,0.00531,0.70284,0.81464,0.83574,0.56651,1.18382,1.65579,0.01007,0.000466997,0.000466997,0.000466997
36,124.774,1.18037,1.65106,0.00518,0.73635,0.74098,0.82595,0.56446,1.14702,1.616,0.00934,0.000438703,0.000438703,0.000438703
37,138.62,1.20261,1.65513,0.00542,0.70291,0.74667,0.80589,0.54334,1.14048,1.59208,0.00918,0.000410409,0.000410409,0.000410409
38,152.193,1.23338,1.69938,0.0052,0.69114,0.71768,0.78824,0.52454,1.14597,1.58128,0.00927,0.000382115,0.000382115,0.000382115
39,165.842,1.18269,1.62284,0.00558,0.69428,0.72009,0.79895,0.53601,1.15896,1.57229,0.00941,0.00035382,0.00035382,0.00035382
40,179.542,1.24305,1.7127,0.00595,0.67237,0.74377,0.8021,0.5349,1.16448,1.5702,0.00956,0.000325526,0.000325526,0.000325526
